file,nodes_expanded,reached_goal,best_path_len,start_yx,goal_yx,end_x,end_y,runtime_sec,history_mode,euclid_start_goal,goal_radius_min,goal_radius_max
map_data_36.npz,1,0,1,"(18, 15)","(16, 19)",15.0,18.0,28.269439567997324,none,3.605551275463989,0.0,5.0
map_data_36.npz,32,0,9,"(18, 15)","(21, 17)",15.854936599731444,19.297941207885746,24.50919343800342,full,3.0,0.0,5.0
map_data_37.npz,2,1,9,"(1, 28)","(2, 28)",27.989213943481445,2.5238044261932373,0.0569464740001421,none,3.605551275463989,0.0,5.0
map_data_37.npz,2,1,9,"(1, 28)","(3, 28)",28.01573371887207,2.512906074523926,0.0488394689964479,full,3.0,0.0,5.0
map_data_38.npz,1,0,1,"(7, 39)","(11, 37)",39.0,7.0,24.770028961000207,full,3.0,0.0,5.0
map_data_38.npz,30,0,9,"(7, 39)","(12, 39)",39.0047607421875,8.542638778686523,28.701065483001003,none,3.605551275463989,0.0,5.0
map_data_39.npz,1,0,1,"(9, 27)","(7, 23)",27.0,9.0,28.88029885400101,none,3.605551275463989,0.0,5.0
map_data_39.npz,1,0,1,"(9, 27)","(6, 23)",27.0,9.0,24.825292386005454,full,3.0,0.0,5.0
map_data_40.npz,2,1,9,"(1, 24)","(1, 21)",22.43685531616211,0.994255781173706,0.0572122410012525,none,3.605551275463989,0.0,5.0
map_data_40.npz,36,0,9,"(1, 24)","(3, 20)",22.56324577331543,1.7344856262207031,24.611371628001507,full,3.0,0.0,5.0
map_data_41.npz,1,0,1,"(15, 1)","(11, 3)",1.0,15.0,24.789367559998936,full,3.0,0.0,5.0
map_data_41.npz,1,0,1,"(15, 1)","(13, 3)",1.0,15.0,28.742624512000475,none,3.605551275463989,0.0,5.0
map_data_42.npz,3,1,17,"(4, 15)","(1, 18)",16.963218688964844,2.0588033199310303,0.0977345759965828,full,3.0,0.0,5.0
map_data_42.npz,2,1,9,"(4, 15)","(2, 13)",13.965473175048828,3.004149913787842,0.2829518399994413,none,3.605551275463989,0.0,5.0
map_data_44.npz,1,0,1,"(13, 14)","(11, 15)",14.0,13.0,24.5530031849994,full,3.0,0.0,5.0
map_data_44.npz,1,0,1,"(13, 14)","(11, 12)",14.0,13.0,29.044534301003296,none,3.605551275463989,0.0,5.0
map_data_45.npz,4,1,17,"(4, 1)","(1, 3)",2.64914345741272,1.3564393520355225,0.1465101840003626,full,3.0,0.0,5.0
map_data_45.npz,30,0,9,"(4, 1)","(6, 5)",2.4433019161224365,4.703488349914551,24.560596791001444,none,3.605551275463989,0.0,5.0
map_data_46.npz,1,0,1,"(29, 36)","(27, 34)",36.0,29.0,24.374836363000213,full,3.0,0.0,5.0
map_data_46.npz,2,1,9,"(29, 36)","(29, 39)",37.5500373840332,28.990154266357425,0.0571868350016302,none,3.605551275463989,0.0,5.0
map_data_47.npz,2,1,9,"(25, 14)","(26, 15)",15.113967895507812,26.084945678710938,0.0508075500038103,full,3.0,0.0,5.0
map_data_47.npz,2,1,9,"(25, 14)","(26, 15)",15.064733505249023,26.068580627441406,0.0737016620005306,none,3.605551275463989,0.0,5.0
map_data_48.npz,30,0,9,"(34, 2)","(31, 5)",3.127125740051269,32.84222412109375,28.959176721000404,none,3.605551275463989,0.0,5.0
map_data_48.npz,2,1,9,"(34, 2)","(31, 2)",1.9901788234710691,32.406002044677734,0.0494508890005818,full,3.0,0.0,5.0
map_data_49.npz,1,0,1,"(2, 7)","(1, 7)",7.0,2.0,29.41236273300092,none,3.605551275463989,0.0,5.0
map_data_49.npz,1,0,1,"(2, 7)","(5, 5)",7.0,2.0,24.758213638997404,full,3.0,0.0,5.0
map_data_50.npz,1,0,1,"(19, 10)","(19, 10)",10.0,19.0,28.832321755999143,none,3.605551275463989,0.0,5.0
map_data_50.npz,1,0,1,"(19, 10)","(16, 11)",10.0,19.0,24.74720100799459,full,3.0,0.0,5.0
map_data_51.npz,1,0,1,"(5, 13)","(7, 9)",13.0,5.0,29.41033909699763,none,3.605551275463989,0.0,5.0
map_data_51.npz,1,0,1,"(5, 13)","(7, 9)",13.0,5.0,24.861330528001417,full,3.0,0.0,5.0
map_data_52.npz,1,0,1,"(20, 37)","(20, 32)",37.0,20.0,24.538771907999035,none,3.605551275463989,0.0,5.0
map_data_52.npz,5,1,17,"(20, 37)","(17, 34)",34.78268051147461,17.825937271118164,0.2443992349944892,full,3.0,0.0,5.0
map_data_53.npz,1,0,1,"(7, 13)","(5, 15)",13.0,7.0,28.755667498000548,none,3.605551275463989,0.0,5.0
map_data_53.npz,3,1,17,"(7, 13)","(3, 13)",12.975471496582031,3.9613232612609854,0.0977191519996267,full,3.0,0.0,5.0
map_data_54.npz,1,0,1,"(8, 23)","(5, 25)",23.0,8.0,28.67929058500158,none,3.605551275463989,0.0,5.0
map_data_54.npz,1,0,1,"(8, 23)","(6, 27)",23.0,8.0,24.99010537400318,full,3.0,0.0,5.0
map_data_55.npz,30,0,9,"(5, 32)","(4, 29)",30.61833953857422,4.602797985076904,24.579220747000363,full,3.0,0.0,5.0
